"","x"
"1178","Kwara"
"1179","Kwara"
"1180","Kwara"
"1181","Kwara"
"1182","Kwara"
"1183","Kwara"
"1184","Kwara"
"1185","Kwara"
"1186","Kwara"
"1187","Kwara"
"1188","Nasarawa"
"1189","Nasarawa"
"1190","Nasarawa"
"1191","Nasarawa"
"1192","Nasarawa"
"1193","Nasarawa"
"1194","Nasarawa"
"1195","Nasarawa"
"1196","Nasarawa"
"1197","Nasarawa"
"1198","Nasarawa"
"1199","Nasarawa"
"1200","Nasarawa"
"1201","Niger"
"1202","Niger"
"1203","Niger"
"1204","Niger"
"1205","Niger"
"1206","Niger"
"1207","Niger"
"1208","Niger"
"1209","Niger"
"1210","Niger"
"1211","Niger"
"1212","Niger"
"1213","Niger"
"1214","Niger"
"1215","Niger"
"1216","Niger"
"1217","Plateau"
"1218","Plateau"
"1219","Plateau"
"1220","Plateau"
"1221","Plateau"
"1222","Plateau"
"1223","Plateau"
"1224","Plateau"
"1225","Plateau"
"1226","Plateau"
"1227","Plateau"
"1228","Plateau"
"1229","Plateau"
"1230","Plateau"
"1231","Plateau"
"1232","Adamawa"
"1233","Adamawa"
"1234","Adamawa"
"1235","Adamawa"
"1236","Adamawa"
"1237","Adamawa"
"1238","Adamawa"
"1239","Adamawa"
"1240","Adamawa"
"1241","Adamawa"
"1242","Adamawa"
"1243","Adamawa"
"1244","Adamawa"
"1245","Adamawa"
"1246","Adamawa"
"1247","Bauchi"
"1248","Bauchi"
"1249","Bauchi"
"1250","Bauchi"
"1251","Bauchi"
"1252","Bauchi"
"1253","Bauchi"
"1254","Bauchi"
"1255","Bauchi"
"1256","Bauchi"
"1257","Bauchi"
"1258","Bauchi"
"1259","Bauchi"
"1260","Bauchi"
"1261","Bauchi"
"1262","Bauchi"
"1263","Borno"
"1264","Borno"
"1265","Borno"
"1266","Borno"
"1267","Borno"
"1268","Borno"
"1269","Borno"
"1270","Borno"
"1271","Borno"
"1272","Borno"
"1273","Borno"
"1274","Borno"
"1275","Borno"
"1276","Borno"
"1277","Borno"
"1278","Borno"
"1279","Gombe"
"1280","Gombe"
"1281","Gombe"
"1282","Gombe"
"1283","Gombe"
"1284","Gombe"
"1285","Gombe"
"1286","Gombe"
"1287","Gombe"
"1288","Gombe"
"1289","Gombe"
"1290","Gombe"
"1291","Gombe"
"1292","Gombe"
"1293","Taraba"
"1294","Taraba"
"1295","Taraba"
"1296","Taraba"
"1297","Taraba"
"1298","Taraba"
"1299","Taraba"
"1300","Taraba"
"1301","Taraba"
"1302","Taraba"
"1303","Taraba"
"1304","Taraba"
"1305","Taraba"
"1306","Taraba"
"1307","Yobe"
"1308","Yobe"
"1309","Yobe"
"1310","Yobe"
"1311","Yobe"
"1312","Yobe"
"1313","Yobe"
"1314","Yobe"
"1315","Yobe"
"1316","Yobe"
"1317","Yobe"
"1318","Yobe"
"1319","Yobe"
"1320","Yobe"
"1321","Jigawa"
"1322","Jigawa"
"1323","Jigawa"
"1324","Jigawa"
"1325","Jigawa"
"1326","Jigawa"
"1327","Jigawa"
"1328","Jigawa"
"1329","Jigawa"
"1330","Jigawa"
"1331","Jigawa"
"1332","Jigawa"
"1333","Jigawa"
"1334","Jigawa"
"1335","Jigawa"
"1336","Jigawa"
"1337","Kaduna"
"1338","Kaduna"
"1339","Kaduna"
"1340","Kaduna"
"1341","Kaduna"
"1342","Kaduna"
"1343","Kaduna"
"1344","Kaduna"
"1345","Kaduna"
"1346","Kaduna"
"1347","Kaduna"
"1348","Kaduna"
"1349","Kaduna"
"1350","Kaduna"
"1351","Kaduna"
"1352","Kaduna"
"1353","Kaduna"
"1354","Kano"
"1355","Kano"
"1356","Kano"
"1357","Kano"
"1358","Kano"
"1359","Kano"
"1360","Kano"
"1361","Kano"
"1362","Kano"
"1363","Kano"
"1364","Kano"
"1365","Kano"
"1366","Kano"
"1367","Kano"
"1368","Kano"
"1369","Kano"
"1370","Kano"
"1371","Kano"
"1372","Katsina"
"1373","Katsina"
"1374","Katsina"
"1375","Katsina"
"1376","Katsina"
"1377","Katsina"
"1378","Katsina"
"1379","Katsina"
"1380","Katsina"
"1381","Katsina"
"1382","Katsina"
"1383","Katsina"
"1384","Katsina"
"1385","Katsina"
"1386","Katsina"
"1387","Katsina"
"1388","Katsina"
"1389","Kebbi"
"1390","Kebbi"
"1391","Kebbi"
"1392","Kebbi"
"1393","Kebbi"
"1394","Kebbi"
"1395","Kebbi"
"1396","Kebbi"
"1397","Kebbi"
"1398","Kebbi"
"1399","Kebbi"
"1400","Kebbi"
"1401","Kebbi"
"1402","Kebbi"
"1403","Kebbi"
"1404","Sokoto"
"1405","Sokoto"
"1406","Sokoto"
"1407","Sokoto"
"1408","Sokoto"
"1409","Sokoto"
"1410","Sokoto"
"1411","Sokoto"
"1412","Sokoto"
"1413","Sokoto"
"1414","Sokoto"
"1415","Sokoto"
"1416","Sokoto"
"1417","Sokoto"
"1418","Sokoto"
"1419","Zamfara"
"1420","Zamfara"
"1421","Zamfara"
"1422","Zamfara"
"1423","Zamfara"
"1424","Zamfara"
"1425","Zamfara"
"1426","Zamfara"
"1427","Zamfara"
"1428","Zamfara"
"1429","Zamfara"
"1430","Zamfara"
"1431","Zamfara"
"1432","Zamfara"
"1433","Abia"
"1434","Abia"
"1435","Abia"
"1436","Abia"
"1437","Abia"
"1438","Abia"
"1439","Abia"
"1440","Abia"
"1441","Abia"
"1442","Abia"
"1443","Abia"
"1444","Abia"
"1445","Abia"
"1446","Abia"
"1447","Anambra"
"1448","Anambra"
"1449","Anambra"
"1450","Anambra"
"1451","Anambra"
"1452","Anambra"
"1453","Anambra"
"1454","Anambra"
"1455","Anambra"
"1456","Anambra"
"1457","Anambra"
"1458","Anambra"
"1459","Anambra"
"1460","Anambra"
"1461","Anambra"
"1462","Anambra"
"1463","Ebonyi"
"1464","Ebonyi"
"1465","Ebonyi"
"1466","Ebonyi"
"1467","Ebonyi"
"1468","Ebonyi"
"1469","Ebonyi"
"1470","Ebonyi"
